Player,dif
James Harden,-26144045.52776133
Klay Thompson,-23294449.5433469
Blake Griffin,-23018399.391422205
Kemba Walker,-21821220.512964886
Kyrie Irving,-20185074.318645027
Damian Lillard,-19566950.674326193
Paul George,-19550611.10571662
Tobias Harris,-18337449.3879078
Bradley Beal,-16539833.842624586
CJ McCollum,-16266758.461828556
CJ McCollum,-15715993.825797956
Gary Harris,-15388436.85221494
Anthony Davis,-15130378.96065512
Andrew Wiggins,-14918734.247308757
James Harden,-14827711.83860026
Russell Westbrook,-14046841.115634236
Gordon Hayward,-13931316.02364431
Stephen Curry,-12582993.634115677
John Collins,-12539973.068682056
Bam Adebayo,-12403006.180130724
Markelle Fultz,-12118105.097748507
Kevin Love,-12001501.650816862
Buddy Hield,-11962956.78660646
Buddy Hield,-11842025.360405166
Khris Middleton,-11578635.771397512
Domantas Sabonis,-10556262.490600877
Pascal Siakam,-10532859.503789324
Caris LeVert,-10486130.755154353
Brandon Ingram,-10304227.732715245
Lonzo Ball,-10223146.295722995
Jimmy Butler,-9752049.488484833
Kevin Durant,-9577628.742256846
Joe Harris,-9558196.53181129
Spencer Dinwiddie,-9384182.638819773
Jrue Holiday,-9327305.216928076
Taurean Prince,-9280583.251376174
De'Aaron Fox,-9038943.987001296
CJ McCollum,-9006426.107717592
D'Angelo Russell,-8772394.899293002
Derrick White,-8563582.873524446
Devin Booker,-8412104.38609444
Luke Kennard,-8352930.112841696
Draymond Green,-8333724.221699741
Rudy Gobert,-8282666.409589294
Norman Powell,-7653349.586824052
Buddy Hield,-7553366.570362914
Duncan Robinson,-7513934.789320581
Josh Green,-7391502.856552487
Jarrett Culver,-7267173.230470672
Danilo Gallinari,-7121339.030806053
Talen Horton-Tucker,-6932707.302278932
Jarrett Allen,-6789063.294918146
Moses Moody,-6776045.971051326
Kevin Knox,-6632525.126584649
OG Anunoby,-6459781.502535887
Karl-Anthony Towns,-6413125.573687594
Spencer Dinwiddie,-6342008.919866081
Josh Richardson,-6149490.6364200525
Patrick Williams,-6102807.095456619
Malik Beasley,-6099762.215324648
Thaddeus Young,-6067866.524742328
Kevin Knox,-6057918.2052479945
Isaac Okoro,-6031204.524042621
Aaron Nesmith,-6014238.855855878
Steven Adams,-5960908.984483715
Malcolm Brogdon,-5808524.207744647
Josh Richardson,-5702887.145994745
Al Horford,-5674271.619914111
James Harden,-5671704.351988837
James Bouknight,-5498796.942712203
Myles Turner,-5467032.855639663
Kevin Knox,-5445852.510356858
Ziaire Williams,-5428525.5115071125
Leandro Bolmaro,-5418276.761219757
Josh Okogie,-5263753.817824412
Kyle Lowry,-5216972.802489858
Thaddeus Young,-5116897.704338726
Thaddeus Young,-4932695.575742818
Romeo Langford,-4784795.094245248
Jonathan Kuminga,-4783779.463311266
Josh Richardson,-4742740.715898644
Romeo Langford,-4717680.341262154
Jaylen Brown,-4693516.709291447
Thomas Bryant,-4606987.089617912
Lauri Markkanen,-4580802.601124395
Ricky Rubio,-4566679.077860028
Doug McDermott,-4538783.579287816
Usman Garuba,-4520416.68783004
Keon Johnson,-4517503.097809728
Caris LeVert,-4402198.759767752
Killian Hayes,-4332256.668643557
JT Thor,-4311906.407639332
Tristan Thompson,-4281700.819566887
Clint Capela,-4265770.311702315
Miles McBride,-4232190.64058803
Jalen Smith,-4095310.215598192
Dwight Powell,-4054118.85148751
Isaiah Joe,-3996873.1714241505
Eric Bledsoe,-3930731.750340376
Quentin Grimes,-3912974.425109323
Kelly Olynyk,-3896816.8731795996
Derrick Favors,-3893872.070858255
Josh Hart,-3879827.960890785
Zeke Nnaji,-3878303.685719013
Dillon Brooks,-3869477.4428303055
Nerlens Noel,-3842689.8680742197
Keon Johnson,-3742296.6590484604
Deandre Ayton,-3721894.0481014065
Isaiah Todd,-3642781.3017589133
Justin Champagnie,-3629196.385283936
Donovan Mitchell,-3555482.6359229796
Jaxson Hayes,-3536997.155804135
Dalano Banton,-3500953.862120794
Robert Covington,-3424561.7162319086
Jevon Carter,-3385174.288176317
Jeremy Lamb,-3336477.9630984664
Jerami Grant,-3324299.538612727
Jalen Johnson,-3295975.5863504373
Jeremy Lamb,-3249224.367526889
Cam Reddish,-3225399.6345379986
Dylan Windler,-3224446.12337099
Delon Wright,-3210743.954657145
Grant Williams,-3198191.6506347023
Miye Oni,-3173261.295711551
LeBron James,-3156941.2193984985
Killian Tillie,-3155401.09564735
Coby White,-3107514.754989501
Domantas Sabonis,-3062028.672480602
Khem Birch,-3052249.4850228094
Jaden McDaniels,-3027994.2319008037
Joe Ingles,-2991112.966588538
Caris LeVert,-2989363.494736757
JaMychal Green,-2950258.9163447283
Terrence Ross,-2919090.183348205
Frank Ntilikina,-2911516.1135252975
Chris Paul,-2907693.1583580635
Jahmi'us Ramsey,-2883933.421197295
Zach Collins,-2875423.1241978295
Josh Jackson,-2857892.735791702
Isaac Bonga,-2843554.8242578246
Jevon Carter,-2817001.381474655
Evan Fournier,-2796290.439523913
Spencer Dinwiddie,-2784023.3122647516
Jeremy Lamb,-2765103.553847097
Isaiah Stewart,-2732950.311193578
Daishen Nix,-2732374.7088110354
Keon Johnson,-2700311.782862086
Day'Ron Sharpe,-2689156.444512479
Eric Gordon,-2613292.3320492096
Tristan Thompson,-2570160.0233385265
Alex Caruso,-2552566.4230151847
Tristan Thompson,-2528237.777164478
Paul Reed,-2516859.954863012
Josh Jackson,-2484501.9012845606
Brook Lopez,-2438787.1842906177
Collin Sexton,-2428391.2908834666
Jared Butler,-2369784.6868218593
Jalen Smith,-2354679.2961227484
Richaun Holmes,-2322253.1545893177
Aaron Gordon,-2295306.8378861286
Deni Avdija,-2289487.3586196825
Norman Powell,-2275644.813206613
Corey Kispert,-2195115.5651795007
Joe Wieskamp,-2160574.957413867
Kai Jones,-2075271.336154379
Malachi Flynn,-2056925.0131318197
Josh Jackson,-2040945.3201025166
Josh Christopher,-1997653.2429067008
Montrezl Harrell,-1994763.7847589478
Serge Ibaka,-1989748.5762239918
Sterling Brown,-1941879.519169923
Nickeil Alexander-Walker,-1931823.052801326
CJ Elleby,-1798839.4605366625
Elijah Hughes,-1729949.1729018725
Robert Covington,-1720074.1084824167
Cam Reddish,-1716925.9917293154
Aaron Holiday,-1712232.28952156
Romeo Langford,-1712047.0745071694
Reggie Bullock,-1699645.76894667
KZ Okpala,-1671479.282625176
Royce O'Neale,-1648932.6728680916
Lamar Stevens,-1647647.4247948155
Cedi Osman,-1619279.7311714515
Yves Pons,-1610967.973838225
Cam Thomas,-1585320.4485969283
Derrick Rose,-1582405.0982269533
Obi Toppin,-1574241.1094114035
Payton Pritchard,-1461952.6813906655
Cam Reddish,-1461458.2061479166
Vit Krejci,-1415812.127270475
Norman Powell,-1407881.7481967546
De'Andre Hunter,-1393803.7009145617
Kessler Edwards,-1368671.6687266603
Donte DiVincenzo,-1359993.358159151
Georges Niang,-1335840.426568374
Armoni Brooks,-1265628.0318289697
Rui Hachimura,-1255243.2567015588
Serge Ibaka,-1231651.4323113263
Elijah Hughes,-1218491.5963683315
Jalen Smith,-1214503.7187796272
Sandro Mamukelashvili,-1213913.122112874
Goga Bitadze,-1195421.666352395
Armoni Brooks,-1171620.8174487427
John Konchar,-1136453.1736016087
Landry Shamet,-1106928.8614195548
Didi Louzada,-1099469.4075168595
Danny Green,-1074617.7134145685
Aaron Holiday,-1046624.8204344623
Admiral Schofield,-1037043.3549681455
Kevon Looney,-1010342.3712018952
Bryn Forbes,-991639.3381397054
Jarred Vanderbilt,-989086.675099615
Marko Simonovic,-978955.0436817929
Sekou Doumbouya,-939837.6783962063
Josh Hart,-939163.8143936843
Jay Scrubb,-933018.8384509198
Jake Layman,-929050.5506914221
Trent Forrest,-927651.1576568484
Tre Mann,-919228.1183220819
Ignas Brazdeikis,-912326.8389167264
Kyle Anderson,-844184.662625201
Daniel Theis,-812317.8424096666
Aleksej Pokusevski,-787146.4477754347
Marcus Garrett,-777520.8759261817
Derrick White,-777235.4395940788
Markus Howard,-773823.1971289068
Daniel Theis,-758466.7537060641
Serge Ibaka,-723064.4565641358
Tyus Jones,-700468.8572145589
Justise Winslow,-694380.6432598121
Bol Bol,-684159.7609320655
Didi Louzada,-632246.2090390921
Hamidou Diallo,-611318.3408609815
Daniel Theis,-587555.0783721209
Jalen McDaniels,-544489.4258527644
Robert Covington,-535731.4897308797
Omer Yurtseven,-516414.5869621262
Matisse Thybulle,-509332.557652425
Armoni Brooks,-473632.8327610791
Tre Jones,-450337.86791087314
Marquese Chriss,-441067.02474294975
Isaiah Jackson,-410891.40626112744
Dean Wade,-378538.4326094724
Aaron Holiday,-336314.15069956705
Domantas Sabonis,-326519.6116850041
Jordan McLaughlin,-323092.40224736184
Trendon Watford,-285008.40185648575
Jaylen Nowell,-269086.50843044743
Bryn Forbes,-250227.8316985257
Jose Alvarado,-232184.70429218933
Elijah Hughes,-196556.84679176658
Terry Taylor,-194554.47378057986
Carsen Edwards,-155953.30618871376
Justin Robinson,-150415.95990797132
Eric Paschall,-147762.27303407714
Precious Achiuwa,-138471.23210172728
Sam Merrill,-138457.60671304166
Kentavious Caldwell-Pope,-130770.7660048157
De'Anthony Melton,-122011.68537195772
Ty Jerome,-118019.20761913434
Luka Garza,-104081.75574237853
Charles Bassey,-51246.99413234368
Jeremiah Robinson-Earl,-45533.26630624384
Mike Conley,-45419.41793713346
Maxi Kleber,-32439.42208916694
Naz Reid,23057.73752913624
Frank Jackson,34828.62947804853
Louis King,35259.76759316772
Elfrid Payton,44773.92028350383
Marcus Morris,73092.42316345498
Ayo Dosunmu,84569.9666576609
Carlik Jones,97067.1096297875
Jordan Schakel,153363.0124620311
Austin Rivers,159223.42772709578
Willie Cauley-Stein,170443.28649123386
Bruce Brown,203749.80546727031
Furkan Korkmaz,204709.60170743614
Rodney Hood,259378.67427929863
Jevon Carter,312988.1456437595
Bruno Fernando,314972.9043275565
Chris Chiozza,324576.21333725005
Torrey Craig,330408.503613092
Kris Dunn,351808.6775415614
Terence Davis,378388.13329080865
Willie Cauley-Stein,412743.77930277213
Isaiah Livers,418467.28915740177
Cory Joseph,433750.16328890994
Daniel Oturu,447500.85277134925
Davion Mitchell,462494.3659151308
Semi Ojeleye,497933.1291240826
Semi Ojeleye,514492.97060875595
Alize Johnson,516423.62866368145
Jordan Nwora,532492.3773016445
Saben Lee,534414.6231164932
Jalen Suggs,536083.1254752651
Tony Snell,574127.2678003646
Justise Winslow,629938.8707902394
Naji Marshall,643268.3509452753
Haywood Highsmith,655778.536863517
Drew Eubanks,663078.6320992485
Bruno Fernando,685111.0944943205
PJ Dozier,688078.8122982159
Devon Dotson,713351.4206036329
Carlik Jones,735883.0567594096
Jock Landale,739731.7827483714
Keljin Blevins,751077.2005604059
Donte DiVincenzo,796974.0399105102
Shake Milton,837886.0874112248
Kevin Huerter,853753.1386147738
Donte DiVincenzo,856248.8027105182
Reggie Perry,879315.2332626097
Justin Robinson,896459.8289114945
Alize Johnson,918341.3045705669
Jaylen Morris,928953.8005970977
Montrezl Harrell,937552.9296682589
Cassius Stanley,953080.4928650558
Jamorko Pickett,973438.6321413554
Derrick White,989424.5734093972
Davon Reed,1010275.6367941424
Bryn Forbes,1014494.1854412146
Cassius Winston,1015751.5658474192
Moses Wright,1021094.5514463969
Torrey Craig,1034368.1421155967
Reggie Perry,1042064.802290678
Olivier Sarr,1071815.6292864904
Myles Powell,1077838.1294592693
Moses Wright,1111748.1752560996
Matt Thomas,1114847.3014866002
Wenyen Gabriel,1123675.0462652743
Montrezl Harrell,1144797.6324755028
Trey Burke,1169989.121478837
Justise Winslow,1188945.9626010098
Georgios Kalaitzakis,1193160.2942165919
Rodney Hood,1223348.3925277404
Juan Toscano-Anderson,1252679.6555437222
Scottie Barnes,1261115.8375867084
Chris Boucher,1265153.8595240377
Alex Len,1269270.5271147527
Bones Hyland,1295218.8878175803
Keita Bates-Diop,1297109.5435605757
Kyle Guy,1309018.1759344228
Seth Curry,1431418.203459926
David Nwaba,1442877.126059562
Skylar Mays,1444006.2271481901
Aaron Wiggins,1453071.876897771
Drew Eubanks,1479381.8217538819
Nathan Knight,1513805.5376027897
Justin Robinson,1515099.2714637592
Austin Reaves,1536304.3793374337
Tony Snell,1561203.863374684
Wenyen Gabriel,1561509.9346255623
Lindell Wigginton,1570739.6354958974
Jeff Dowtin,1577410.08124049
Dewayne Dedmon,1578225.0714007542
Patrick Beverley,1603185.4023821391
Nassir Little,1613315.546737045
Gabe Vincent,1620690.281701699
Gary Clark,1649658.8234946951
Isaiah Hartenstein,1659940.3916202374
Devin Vassell,1671070.5981778577
Jeff Dowtin,1689359.5909356326
Kelan Martin,1697491.8321490511
Alize Johnson,1721693.073184587
Harrison Barnes,1745163.7816518135
Stanley Johnson,1756545.2829297632
Wenyen Gabriel,1931027.2441316247
Kenrich Williams,1933594.7016570084
Freddie Gillespie,1949694.5638915189
Jordan Clarkson,1955524.495874498
Luke Kornet,1960491.520857919
Josh Hart,1961128.2038024664
Rajon Rondo,1994920.2146083638
Thanasis Antetokounmpo,1995803.1944199465
Kelan Martin,2039748.1040116884
Georgios Kalaitzakis,2074423.8046134487
Moritz Wagner,2080505.1800974905
Nicolas Batum,2081291.7545883693
Cameron Payne,2087390.3292517029
Mo Bamba,2138522.384418633
Mac McClung,2156774.780491855
George King,2220390.825978864
Cameron Johnson,2243889.4529052638
Brandon Clarke,2244037.5541377813
Brodric Thomas,2248082.394094676
Petr Cornelie,2269763.633034922
Taj Gibson,2285278.104560703
Abdel Nader,2329355.016971711
Eugene Omoruyi,2331110.2865646444
Yuta Watanabe,2333554.003213182
Trevelin Queen,2344053.141838908
Rodney McGruder,2357913.977307413
Avery Bradley,2358041.074609585
Marcus Smart,2409032.459153589
Theo Pinson,2497224.3236311637
Cody Martin,2499167.5314394906
Jaylen Hoard,2528835.212541394
Malcolm Hill,2545501.135009505
Bruno Fernando,2547528.700099718
Gorgui Dieng,2568261.8585548587
Malcolm Hill,2586779.5546840914
Mason Jones,2594012.922106024
Lindy Waters III,2606350.022936523
Mamadi Diakite,2609350.5728103593
Melvin Frazier,2615582.3467523158
Torrey Craig,2623351.413044799
Kevin Pangos,2627603.529572796
Micah Potter,2669040.317516491
Cameron McGriff,2670622.4316000417
Anthony Gill,2694142.8355609477
Max Strus,2752570.2917666323
Mac McClung,2813741.4708038047
Pat Connaughton,2822740.225154672
Cade Cunningham,2836509.499001622
Georgios Kalaitzakis,2843130.172227878
Luke Kornet,2854261.1492673047
Terry Rozier,2913534.2701739185
Damion Lee,2986608.1728755124
Rajon Rondo,3004231.625454858
Braxton Key,3009152.751183551
Gary Payton II,3043620.565847706
Jayson Tatum,3059043.663691085
Monte Morris,3069557.080125045
Wayne Selden,3071645.527430348
Jalen Green,3090342.5128602535
Facundo Campazzo,3137202.8149800487
Isaiah Roby,3147444.3997661397
Terance Mann,3156455.0926613584
Braxton Key,3197710.655924659
Josh Giddey,3205410.3889481314
Drew Eubanks,3218264.2914347313
Cody Zeller,3281593.1096473783
Kent Bazemore,3282353.3381480314
Brandon Goodwin,3289076.828848351
Immanuel Quickley,3295929.588739712
Alfonzo McKinnie,3304256.291119769
Caleb Martin,3332233.9479302987
Paul Watson,3337672.957785066
Justin Jackson,3347054.960915599
Devin Cannady,3377114.4875910096
Jabari Parker,3386368.648708284
Semi Ojeleye,3397117.5213787407
Zavier Simpson,3456927.7253143154
Robin Lopez,3476046.2317399457
Oshae Brissett,3487149.5584309697
Tyrone Wallace,3531624.5345327966
Mychal Mulder,3543826.668843318
Mason Plumlee,3567409.6426118314
Javonte Green,3602611.7333116196
Giannis Antetokounmpo,3610402.6826901883
Hassani Gravett,3612760.2277217023
Franz Wagner,3615928.2880865745
Fred VanVleet,3627813.5492633544
Mychal Mulder,3665417.257224757
Nickeil Alexander-Walker,3669997.2590641864
DeMar DeRozan,3698596.3201364987
Justin Holiday,3733280.2189182118
Luke Kornet,3754556.690752268
Daniel Gafford,3814012.6791096255
Damian Jones,3830095.866540905
Quinndary Weatherspoon,3849189.378258895
Will Barton,3858704.7435621507
Keifer Sykes,3871165.9563903883
Anfernee Simons,3902351.300214205
Paris Bass,3905843.0195721164
Derrick Walton,3908429.607427448
Chris Duarte,3953151.331180319
Rajon Rondo,3958644.87083181
Tony Snell,3999151.3674369715
Rodney Hood,4016585.789079942
Jared Harper,4050630.6633230187
Tyrese Haliburton,4056126.889881868
Garrison Mathews,4086328.9859051406
Nickeil Alexander-Walker,4092954.0954809263
Jakob Poeltl,4162268.8081631027
James Johnson,4173290.289697297
Jae Crowder,4202309.477894314
Chuma Okeke,4242670.050121468
Seth Curry,4253459.09182572
Mike Muscala,4290604.991658427
Amir Coffey,4375427.202005982
Nik Stauskas,4387109.812097643
Ben McLemore,4444639.19591549
Rayjon Tucker,4453757.772649739
Mikal Bridges,4502701.5760027245
Trey Lyles,4532660.171754524
Grayson Allen,4539165.687472299
George Hill,4543454.333331872
Garrett Temple,4645454.146073975
Malik Newman,4709276.052027974
Zach LaVine,4726056.868855234
Dorian Finney-Smith,4739722.196529709
Raul Neto,4790041.29299105
Wesley Matthews,4850255.454583034
Rudy Gay,4959311.87813006
Justin Holiday,5003538.604752373
Brandon Williams,5061854.483862463
Seth Curry,5072545.347209249
Alec Burks,5111706.304689594
Andre Drummond,5121545.559109706
Justin Anderson,5129282.720773589
Chimezie Metu,5132804.312710289
Nik Stauskas,5283188.179954171
Rayjon Tucker,5288340.395068232
Xavier Moon,5296266.459603451
Victor Oladipo,5299003.957659457
Trey Lyles,5308154.931739047
Frank Kaminsky,5429009.919055279
Mychal Mulder,5487281.903758477
Markieff Morris,5488002.717192765
Lance Stephenson,5502665.3452417925
Malcolm Hill,5554492.672419719
Justin Anderson,5592152.801543988
Cameron Oliver,5624901.371688556
Robert Williams,5630180.674966853
Evan Mobley,5684862.925823662
Justin Anderson,5687695.19686088
Tim Frazier,5929436.823299188
Wayne Ellington,5973494.530252602
Tim Frazier,6150503.242591001
Paul Millsap,6228532.590372391
Brad Wanamaker,6306809.879346408
Justin Holiday,6332300.799536642
Brad Wanamaker,6413773.07456268
JaVale McGee,6471646.142844725
Nemanja Bjelica,6493679.600478176
Malik Monk,6583206.189580955
Jae'Sean Tate,6604004.353455253
Lance Stephenson,6806749.6702434905
Brandon Knight,6833480.084309261
DeMarcus Cousins,7020610.194716789
Paul Millsap,7065209.941811305
DeMarcus Cousins,7075408.337290041
Tyrese Haliburton,7077190.796500243
Trey Lyles,7126574.164100129
Bobby Portis,7155191.147675216
Andre Drummond,7199875.912702661
Isaiah Thomas,7219217.058202498
Lance Stephenson,7361912.022836555
DeMarcus Cousins,7537195.121741533
Andre Drummond,7559189.745065674
Isaiah Thomas,7695073.529142808
Luguentz Dort,7778136.5416456945
Tyrese Maxey,7902442.687686097
Isaiah Thomas,7907477.539428782
Julius Randle,8049825.419377465
Trevor Ariza,8354695.953507591
Paul Millsap,8473716.677421827
Kyle Kuzma,8805561.48684157
Tyler Herro,8808815.517738733
Anthony Edwards,9186200.00501636
Jeff Green,9473953.800141528
Joel Embiid,9731271.160510749
Darius Bazley,9863684.85343058
Desmond Bane,10340784.822532728
Jalen Brunson,10352613.268696323
Christian Wood,10427974.209061693
Andre Iguodala,10573795.552285202
Keldon Johnson,10621434.9829783
RJ Barrett,10725921.258468132
Dejounte Murray,10745649.298853349
Reggie Jackson,10772483.332275223
Dwight Howard,10963761.73331526
LaMelo Ball,10964351.504466783
Cole Anthony,11459477.171561968
Jordan Poole,11593135.065725595
LaMarcus Aldridge,11600752.83079582
Darius Garland,12298966.568486203
Udonis Haslem,12405856.292491127
Carmelo Anthony,13077615.89974248
Tyrese Haliburton,13569542.489171658
Saddiq Bey,13708517.937841173
